name,１年児童・生徒数,２年児童・生徒数,３年児童・生徒数,４年児童・生徒数,５年児童・生徒数,６年児童・生徒数,計児童・生徒数,１年学級数,２年学級数,３年学級数,４年学級数,５年学級数,６年学級数,計学級数
町田第一小学校,104,112,94,137,101,115,663,3,4,3,4,3,3,20
町田第二小学校,70,57,72,56,68,67,390,2,2,2,2,2,2,12
町田第三小学校,77,63,78,67,74,91,450,3,2,2,2,2,3,14
町田第四小学校,87,102,75,97,94,90,545,3,3,2,3,3,3,17
町田第五小学校,84,102,95,77,95,84,537,3,3,3,2,3,3,17
町田第六小学校,62,39,44,40,44,40,269,2,2,2,1,2,1,10
南大谷小学校,92,94,90,99,108,116,599,3,3,3,3,3,3,18
藤の台小学校,53,71,74,58,90,81,427,2,3,2,2,3,3,15
本町田東小学校,40,33,43,30,41,49,236,2,1,2,1,2,2,10
本町田小学校,61,62,72,51,67,49,362,2,2,2,2,2,2,12
南第一小学校,109,109,120,107,105,106,656,4,4,3,3,3,3,20
南第二小学校,46,53,52,52,64,57,324,2,2,2,2,2,2,12
南第三小学校,64,62,76,67,56,55,380,2,2,2,2,2,2,12
南第四小学校,93,73,97,73,89,91,516,3,3,3,2,3,3,17
つくし野小学校,68,66,62,59,72,64,391,2,2,2,2,2,2,12
小川小学校,66,70,65,73,87,80,441,2,2,2,2,3,2,13
成瀬台小学校,96,105,107,113,105,112,638,3,3,3,3,3,3,18
鶴間小学校,102,93,90,106,116,109,616,3,3,3,3,3,3,18
高ヶ坂小学校,49,56,59,50,46,60,320,2,2,2,2,2,2,12
成瀬中央小学校,59,62,61,54,61,61,358,2,2,2,2,2,2,12
南成瀬小学校,53,44,63,68,56,66,350,2,2,2,2,2,2,12
南つくし野小学校,149,125,133,99,125,125,756,5,4,4,3,4,4,24
鶴川第一小学校,103,108,123,121,156,123,734,3,4,4,4,4,4,23
鶴川第二小学校,73,85,80,78,89,84,489,3,3,2,2,3,3,16
鶴川第三小学校,78,76,65,63,71,74,427,3,3,2,2,2,2,14
鶴川第四小学校,78,65,74,96,89,99,501,3,2,2,3,3,3,16
金井小学校,82,78,95,94,102,74,525,3,3,3,3,3,2,17
大蔵小学校,95,110,102,132,125,130,694,3,4,3,4,4,4,22
三輪小学校,67,70,95,84,81,86,483,2,2,3,3,3,3,16
忠生小学校,80,58,61,61,89,96,445,3,2,2,2,3,3,15
小山田小学校,30,37,42,47,39,70,265,1,2,2,2,1,2,10
忠生第三小学校,110,94,90,109,90,106,599,4,3,3,3,3,3,19
山崎小学校,62,69,55,57,61,63,367,2,2,2,2,2,2,12
小山田南小学校,79,85,85,84,95,104,532,3,3,3,3,3,3,18
木曽境川小学校,63,78,70,78,80,86,455,2,3,2,2,2,3,14
七国山小学校,74,80,84,104,105,109,556,3,3,3,3,3,3,18
図師小学校,82,84,102,80,93,105,546,3,3,3,2,3,3,17
小山小学校,109,132,110,130,140,169,790,4,4,3,4,4,5,24
小山ヶ丘小学校,121,129,140,159,159,138,846,4,4,4,4,4,4,24
小山中央小学校,104,118,119,117,130,131,719,3,4,3,3,4,4,21
相原小学校,67,59,65,63,71,71,396,2,2,2,2,2,2,12
大戸小学校,29,23,19,21,13,29,134,1,1,1,1,1,1,6
